index,artist,artist_id,name,id,url,album_name,album_id,release_date,duration_ms,explicit,popularity,added_at
35,Selena Gomez & The Scene,6dJeKm76NjfXBNTpHmOhfO,My Dilemma,5g3TKEDNVOviIisycRgo4H,https://open.spotify.com/track/5g3TKEDNVOviIisycRgo4H,When The Sun Goes Down,49yHvRh1cOfLcEKukEP7Ox,2011-01-01,189853,False,49,2025-09-20T12:04:26Z
36,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il,reputation,6DEjYFkNZh67HP7R9PSZvv,2017-11-10,211853,False,79,2025-09-20T12:04:25Z
37,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Love Story,1D4PL9B8gOg78jiHg3FvBb,https://open.spotify.com/track/1D4PL9B8gOg78jiHg3FvBb,Fearless (Big Machine Radio Release Special),3EzFY9Rg0PpbADMth746zi,2008-11-11,236266,False,76,2025-09-20T12:04:24Z
38,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Rockabye (feat. Sean Paul & Anne-Marie),3fvY2U1AzW0diYF0hnBbKt,https://open.spotify.com/track/3fvY2U1AzW0diYF0hnBbKt,Speak Your Mind (Deluxe),7lPoGKpCGgdKFAxpudhAH5,2018-04-27,250456,False,63,2025-09-20T12:04:22Z
39,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Bad Blood,0TvQLMecTE8utzoNmvXRbK,https://open.spotify.com/track/0TvQLMecTE8utzoNmvXRbK,1989,5fy0X0JmZRZnVa2UEicIOl,2014-01-01,211933,False,73,2025-09-20T12:04:20Z
40,Trinidad Cardona,4wP1kxjUsc9IR4Iy2smL7o,Dinero,3ggtU1ZOKO8ZNiqPNyXGcm,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm,Dinero,6FfydthOJNOSCM8BeSqKh3,2018-02-02,160880,True,67,2025-09-20T12:04:18Z
41,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,telepatía,6tDDoYIxWvMLTdKpjFkc1B,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,Sin Miedo (del Amor y Otros Demonios) ∞,00wSTrFxoSzA7eeS1UxHgd,2020-12-04,160191,False,82,2025-09-20T12:04:17Z
42,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah,0i0wnv9UoFdZ5MfuFGQzMy,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy,Last Hurrah,5ljc69MQ6iwGcJ4SmHaAh5,2019-02-15,150333,False,57,2025-09-20T12:04:16Z
43,Duncan Laurence,3klZnJvYGIbWritVwQD434,Arcade,1Xi84slp6FryDSCbzq4UCD,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,Arcade,7BISGeB7QwhqRIadxuLHfG,2019-03-07,183624,False,74,2025-09-20T12:04:14Z
44,Bella Poarch,26cMerAxjx9GedFt0lMDjm,Build a Bitch,7BoobGhD4x5K96Me0hqC8Q,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,5YKqfiQdPYWJ0kZ5pttY5o,2021-05-14,122772,True,68,2025-09-20T12:04:12Z
